805688	424229.209	6157794.823	930.748	0.054	-0.029	0.02
815688	424120.91	6163598.426	1326.428	0.02	0.049	0.03
825609	424157.9	6161404.834	1036.619	0.164	-0.191	-0.014
6404810	418366.208	6163602.527	1450.56	-0.068	-0.131	-0.036
6404816	418283.795	6157266.413	903.785	-0.051	0.14	-0.067
6404916	421336.716	6157304.717	868.585	-0.01	0.079	-0.053
6404917	421694.003	6159223.094	1021.311	0.074	0.211	-0.06
6404918	421460.003	6160759.78	1152.458	0.027	-0.049	-0.013
6405110	426946.588	6164059.559	1121.78	-0.019	-0.079	-0.063
6405116	426800.644	6157220.663	953.995	-0.118	-0.212	0.079
6405218	429091.528	6160848.957	1338.556	0.047	-0.112	0.021
6405219	428967.786	6161901.333	1483.5	-0.042	0.01	-0.018
170045982	417885.834	6159012.536	863.528	-0.015	-0.087	0.04
170046002	417822.185	6159226.329	864.319	-0.017	-0.216	0.076
170046198	418289.965	6160708.675	1069.885	-0.004	-0.073	0.004
170046509	418139.897	6162180.064	1120.77	-0.003	0.08	0.023
170046872	418567.381	6159976.498	1062.684	-0.013	-0.148	0.032
170048999	420338.338	6158527.771	989.383	-0.052	-0.049	0.057
170049878	420412.447	6159685.871	1112.948	-0.016	-0.193	0.053
170049879	420480.341	6159527.712	1125.885	-0.055	-0.067	0.055
170049980	420698.37	6159768.245	1118.864	-0.024	-0.029	0.021
170050747	421270.334	6163909.394	959.465	-0.03	-0.032	-0.004
170053530	423566.145	6157850.527	858.527	0.133	0.141	-0.086
170053533	423861.067	6157676.176	853.957	0.157	0.126	-0.075
170053936	424024.685	6160198.712	895.722	-0.083	0.196	-0.024
170054061	423964.61	6161113.265	1015.957	0.053	0.193	0.014
170054405	423835.724	6163880.084	1318.101	0.08	0.031	0.02
170054429	423730.736	6163517.34	1236.987	0.081	0.111	0.06
170057829	426044.679	6158409.42	1082.544	-0.004	0.012	-0.008
170057914	426366.765	6159254.401	1229.789	-0.029	0.045	-0.029
170057995	426446.464	6159536.397	1246.442	0.007	0.076	-0.016
170058172	426420.059	6161058.287	1200.656	0.01	0.022	0.006
170058269	426423.045	6162010.019	1259.787	0.021	-0.001	0.011
170058753	426673.275	6163025.401	1137.298	-0.012	0.121	0.048
170061061	428768.838	6158056.251	1140.576	0.017	0.018	-0.003
170061068	428871.702	6157737.963	1100.719	-0.033	-0.072	0.029
170061285	429244.412	6159540.358	1229.828	0.033	0.14	-0.017
170061599	429113.672	6163439.318	1555.749	0.018	0.011	0.016